Filename,kernel,degree,gamma,coef0,tol,nu,shrinking,cache_size,max_iter,Parameter_Iteration,R
lungcancer_GSE31210,linear,3,scale,0.0,0.001,0.5,True,200,-1,0,0.1891891891891892
lungcancer_GSE31210,poly,3,scale,0.0,0.001,0.5,True,200,-1,0,0.1891891891891892
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.5,True,200,-1,0,0.3221476510067114
lungcancer_GSE31210,sigmoid,3,scale,0.0,0.001,0.5,True,200,-1,0,0.1891891891891892
lungcancer_GSE31210,rbf,3,auto,0.0,0.001,0.5,True,200,-1,0,0.3378378378378378
lungcancer_GSE31210,rbf,3,scale,0.0,0.1,0.5,True,200,-1,0,0.3221476510067114
lungcancer_GSE31210,rbf,3,scale,0.0,0.01,0.5,True,200,-1,0,0.3243243243243243
lungcancer_GSE31210,rbf,3,scale,0.0,0.0001,0.5,True,200,-1,0,0.3221476510067114
lungcancer_GSE31210,rbf,3,scale,0.0,1e-05,0.5,True,200,-1,0,0.3221476510067114
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.1,True,200,-1,0,0.25
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.2,True,200,-1,0,0.2749999999999999
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.3,True,200,-1,0,0.3106796116504854
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.4,True,200,-1,0,0.3333333333333333
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.6,True,200,-1,0,0.3157894736842105
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.7,True,200,-1,0,0.3195876288659794
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.8,True,200,-1,0,0.3069767441860465
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.9,True,200,-1,0,0.2928870292887029
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.5,False,200,-1,0,0.3221476510067114
lungcancer_GSE31210,rbf,3,scale,0.0,0.001,0.5,True,50,-1,0,0.3221476510067114
