,Dataset,Anomaly_Python,F1Score_Python_Modified,F1Score_Python_Default,Dataset,Threshold_R,F1Score_R_Modified,F1Score_R_default,Dataset,Threshold_Matlab,F1Score_Matlab_Modified,F1Score_Matlab_Default,Dataset,SKlearn_R_Modified_ARI,SKlearn_R_Default_ARI,SKlearn_Matlab_Modified_ARI,SKlearn_Matlab_Default_ARI,Matlab_R_Modified_ARI,Matlab_R_Default_ARI
0,CastMetal1.csv,4.281345565749235,0.8593272171253823,0.8593272171253823,CastMetal1.csv,1.539092382,0.923076923,0.544554455,CastMetal1.csv,1.535495534,0.178571429,0.14893617,CastMetal1.csv,1.0,-0.0011107390015931,1.0,0.019027140677372,1.0,-0.0176678166938677
1,CostaMadre1.csv,4.391891891891892,0.8547297297297297,0.8547297297297297,CostaMadre1.csv,1.561111212,0.92051756,0.572972973,CostaMadre1.csv,1.534798585,0.156862745,0.134831461,CostaMadre1.csv,0.9127334872485195,-0.0173468761948042,1.0,0.0981092839857364,0.9127334872485195,-0.0110550438271981
2,KnuggetChase3.csv,10.309278350515465,0.8041237113402062,0.8041237113402062,KnuggetChase3.csv,1.538804071,0.885542169,0.43438914,KnuggetChase3.csv,1.546801587,0.321428571,0.206896552,KnuggetChase3.csv,1.0,-0.0078778091072363,1.0,0.0288880792214663,1.0,-0.0152046241575387
3,KungChi3.csv,8.130081300813007,0.8373983739837398,0.8373983739837398,KungChi3.csv,1.551076504,0.909090909,0.450704225,KungChi3.csv,1.538486322,0.230769231,0.173913043,KungChi3.csv,1.0,-0.0693836762587795,1.0,0.1575425814634854,1.0,-0.0293475686283779
4,MeanWhile1.csv,3.9525691699604746,0.8695652173913043,0.8695652173913043,MeanWhile1.csv,1.472363185,0.929637527,0.468646865,MeanWhile1.csv,1.483042947,0.108108108,0.068965517,MeanWhile1.csv,1.0,-0.0378047027800516,1.0,0.0327729445463573,1.0,-0.0157284521398287
5,MegaWatt1.csv,3.9525691699604746,0.8695652173913043,0.8695652173913043,MegaWatt1.csv,1.472363185,0.929637527,0.468646865,MegaWatt1.csv,1.483042947,0.108108108,0.068965517,MegaWatt1.csv,1.0,-0.0378047027800516,1.0,0.0327729445463573,1.0,-0.0157284521398287
6,PieChart1.csv,2.9787234042553195,0.8978723404255319,0.8978723404255319,PieChart1.csv,1.529333037,0.945783133,0.494892168,PieChart1.csv,1.528663537,0.12195122,0.072463768,PieChart1.csv,1.0,-0.0152622167914946,1.0,0.0310232717559104,1.0,-0.0120966835556322
7,PieChart2.csv,4.563758389261745,0.938255033557047,0.938255033557047,PieChart2.csv,1.488340459,0.968055556,0.439957492,PieChart2.csv,1.472923275,0.08,0.017094017,PieChart2.csv,1.0,-0.0180195449543628,1.0,0.0828918149165644,1.0,-0.0430695324634675
8,PieChart3.csv,1.6713091922005572,0.8644382544103992,0.8644382544103992,PieChart3.csv,1.490285975,0.928071928,0.439873418,PieChart3.csv,1.495750335,0.039473684,0.171206226,PieChart3.csv,0.9416866822661768,-0.0113892532548691,1.0,0.0243337480199821,0.9416866822661768,-0.0190988008045673
9,PizzaCutter1.csv,1.815431164901664,0.9122541603630864,0.9122541603630864,PizzaCutter1.csv,1.566572285,0.953895072,0.496402878,PizzaCutter1.csv,1.528663537,0.09375,0.06504065,PizzaCutter1.csv,1.0,-0.0124088364479426,1.0,-0.0062809563852177,1.0,-0.0217622831164483
