GLCM_Pan,Mean_G,Mean_R,Mean_NIR,SD_Plan,target
120.36278,205.5,119.39535,416.5814,20.676317,1
124.73958600000002,202.8,115.33333600000002,354.33334,16.707151,1
134.69197,199.28572,116.85714,477.85715,22.496712,1
127.94631,178.36842,92.36842,278.4737,14.977453,1
135.43155,197.0,112.690475,532.9524,17.604193,1
118.34796,226.15,138.85,608.9,29.072798,1
135.43628,184.5,95.14286,309.1905,13.055264,1
121.16964,226.0,146.21428,595.5714,22.808542000000006,1
131.12717,232.78432,144.58823999999996,563.8431400000002,11.948563,1
134.4981,210.21213,116.90909,594.8485,27.937685,1
131.16478,206.68182,114.72727,483.04544,22.903543,1
136.09596000000002,201.4,111.4,444.6,16.553621,1
122.631905,230.56097000000003,142.19513,473.7073,24.521889,1
113.65618,213.10715,129.78572,480.85715,29.237766,1
133.8942,191.62163,115.51351,419.51352,17.48914,1
131.1115,213.66667,125.44444,537.8889,19.434818,1
127.83569,201.35849,116.50943999999998,372.13208,23.929111,1
121.61126000000002,199.74467,121.06383,338.12766,15.019107,1
106.2421,221.75,140.0,381.16666,18.903263,1
147.77113,220.11111,123.72222,479.16666,23.337036,1
135.82394,192.23288,115.09589,332.42465,12.805692,1
134.95897,226.67346,141.46939,435.9592,17.606108,1
128.5314,188.984,93.312,296.616,16.932495,1
143.52873,170.36363,78.454544,400.0,10.832306,1
141.10938000000004,164.625,68.0,242.5,6.753471,1
140.02603,189.89655,89.24138,561.31036,23.83759,1
132.58772,222.39215,133.05882,579.2157,19.832651,1
121.7579,174.0,92.666664,217.77777000000003,14.055446,1
135.67717,199.75,105.20833600000002,453.33334,16.185074,1
119.457405,180.74194,93.145164,227.7742,12.293254,1
124.59194,179.41666999999995,89.083336,208.08333,20.352602,1
126.52797,178.77777,85.111115,359.7777700000001,11.080513,1
135.02449,190.87755,104.55102,270.65308,14.329932,1
142.5658,183.41667,89.763885,240.26389,11.29866,1
124.61101,180.82608,93.434784,242.6087,9.803702,1
130.84966,175.33333000000005,83.40278,342.2777700000001,21.171679,1
133.85416999999998,166.40741,78.74074,254.37038,14.175076,1
119.71456,231.83333,153.51515,591.0151400000002,25.385986,1
123.27854,218.26,129.68,600.22,29.894943,1
117.63929,215.5641,131.20512,504.07693,22.19423,1
138.51273,202.04477,118.537315,445.92538,20.084938,1
118.57832,198.56757,117.067566,429.13513,33.420970000000004,1
134.06403999999998,183.46364,95.59091,236.68182,18.003729999999994,1
117.65066000000002,236.48611,155.45833000000005,541.5417,18.511822,1
135.28426000000002,234.65117,149.8372,587.0,22.066889,1
123.30243,207.75438,120.66666399999998,436.0877,18.284456,1
128.0961,199.2,118.4,403.33334,21.405891,1
119.63555,200.65178,118.82143,312.51785,21.871778,1
119.50652,224.24138,131.58621000000002,592.2414,27.410822,1
132.27956,213.50877000000003,126.210526,503.6316,26.666931,1
123.75228,222.01819,134.67273,510.03638,21.587217000000006,1
123.9973,221.67143,156.24286,493.41428,24.439196,1
130.0105,184.87038,103.166664,319.7777700000001,21.732252,1
122.79784,202.34285,132.48572,322.2857,15.835378,1
132.40476999999998,201.30556,125.40741,373.80554,23.220295,1
127.80718,202.71196,120.722824,415.80435,27.25897,1
122.15942,195.15,128.825,323.975,28.948097,1
126.43218,206.42291,128.59912,403.06168,23.36859,1
128.36876,211.35449,140.65079,411.30157,24.842134,1
126.73972,203.3913,129.90434,390.81738,20.635784,1
128.58113,200.87097,119.32258,436.55646,24.033567,1
136.35943999999998,210.30582,118.42202,462.56882,21.609575,1
128.97305,202.625,118.75926,427.49536,21.303534,1
131.59982,209.56018,117.23611499999998,566.0093,36.442123,1
122.66543,218.26772000000003,136.58661,498.63385,26.649675,1
132.45549,198.86568,113.80597,323.0597,18.657719,1
129.20801,188.68867,110.65094,327.71698,19.005396,1
124.59047,197.32521,120.64227,398.85367,18.675636,1
129.36014,207.2619,123.94558,464.7245,26.64041,1
141.57423,199.24445,127.33333600000002,364.17776,15.219286,1
127.21881,190.31496,110.10236,383.3937,19.666454,1
118.12258,217.89412,134.23529,443.11176,18.376032,1
138.61432,213.60318,126.11111499999998,421.0,18.304926,1
134.3015,210.6,125.67143,436.1905,21.0341,1
142.8677,228.67857,104.39286,674.9643,32.399532,0
143.49728000000005,211.6087,95.73913,612.34784,29.530094,0
135.725,238.91667,107.58333600000002,741.2708,20.84107,0
112.82456,236.92,108.04,705.84,22.67065,0
111.20755,233.1,105.575,729.775,23.673813,0
124.95516,226.69565,100.565216,686.43475,27.8711,0
115.84987,235.89362000000003,107.106384,757.21277,19.601578,0
124.97024,218.09525,97.42857,595.8571,40.781036,0
130.71178,169.52673,69.40106999999999,187.6845,8.875741,0
113.46512,244.25926,107.55556,735.5185,34.575417,0
130.11836,230.23077,104.19231,689.3461,16.023281,0
120.41391000000002,216.3158,104.89473999999998,617.3158,29.403866,0
127.22321,219.42857,100.57143,588.8571,17.274494,0
128.94531,196.0,93.0,437.0,27.335875,0
133.35938000000002,166.0,84.0,247.0,14.101751,0
127.39583600000002,200.33333,99.166664,486.16666,26.023495,0
137.92259,231.33333,99.36667,641.8666400000002,40.490932,0
105.1,206.8,97.0,564.2,21.30352,0
132.38655,203.73334,95.8,531.8666400000002,53.596848,0
107.57692,213.3077,90.76923,514.1539,45.348225,0
127.76576,187.0,82.35714,310.14285,15.443941,0
124.01848,170.92728,69.07271999999999,217.83636,13.337253,0
132.2993,203.40741,90.0,495.4074,36.94377,0
153.54166999999995,204.0,87.0,452.0,1.699673,0
125.73937,169.20305,69.41624499999999,206.41116,7.412496000000001,0
140.85715,175.75,79.916664,293.0,6.015605,0
132.59201000000002,164.68292,68.68293,177.89757,8.123652,0
138.24042,198.25,87.05556,445.3889,27.26414,0
136.25061000000002,191.68628,87.17647,441.7647,20.390781,0
130.01137,199.18182,95.27273,520.63635,12.186566,0
120.87208,226.3871,101.70968,746.80646,16.682722000000002,0
144.33973999999995,174.4,77.65,302.1,10.067274,0
106.34375,231.8,111.8,726.4,28.667229,0
141.3507,224.44444,107.11111499999998,668.6667,30.063925,0
128.17717,206.5,94.4375,456.875,23.224426,0
127.47932,206.81818,93.59091,525.4318,18.794823,0
130.76656,217.0,97.4,648.4,24.676863,0
123.85448999999998,213.27272,100.568184,645.2727,34.318356,0
122.67361499999998,183.33333,80.666664,390.77777,20.083775,0
119.14881,200.0,93.52381,488.61905,29.794535,0
111.150734,193.05882,88.35294,493.82352,33.466194,0
109.63888500000002,206.55556,97.666664,463.55554000000006,20.25943,0
127.91856,218.87234,98.085106,679.5744599999998,19.805391,0
135.18402,177.0,78.5,406.44116,16.311867000000003,0
138.23383,214.41861,97.44186,730.81396,26.142742,0
