Filename,DefaultARI,DefaultF1,UninformedARI,UninformedF1,InformedARI,InformedF1
CastMetal1,0.9271307206034534,0.2456576576576576,0.9918094905611001,0.2666666666666666,0.9271307206034534,0.2456576576576576
CostaMadre1,0.8796072841817387,0.25917471466198416,0.9391614281093866,0.24705882352941178,0.9080471879868549,0.27396839332748024
KnuggetChase3,0.9131087734925776,0.28727272727272724,0.9407072214180551,0.3018181818181818,0.9407072214180551,0.3018181818181818
KungChi3,0.8999369406677782,0.3285714285714285,0.9270114330379453,0.43125,0.9270114330379453,0.43125
MeanWhile1,0.8522665261978387,0.24230769230769225,0.8936974723924039,0.2587980769230769,0.8936974723924039,0.2587980769230769
MegaWatt1,0.8695522636524847,0.24999999999999994,1.0,0.0,0.8695522636524847,0.24999999999999994
PieChart1,0.9077704652192641,0.2870229007633588,0.9746197601153166,0.275449101796407,0.9077704652192641,0.2870229007633588
PieChart2,0.893061548941382,0.12012484394506864,0.9657226436163354,0.10810810810810809,0.893061548941382,0.12012484394506864
PieChart3,0.9139460953709317,0.20952367888618356,1.0,0.0,0.9595285639050789,0.21900826446280988
PizzaCutter1,0.8995329375420563,0.29007677821237143,0.9648626230712484,0.2591304347826086,0.925327520239567,0.3036505867014342
PizzaCutter3,0.9021275987979346,0.20624129493694712,0.9767040041834245,0.11173184357541902,0.9429581176461923,0.2173160173160173
analcatdata_apnea1,0.8457070736912097,0.15756317064728273,0.9707612900305366,0.16111111111111104,0.9199116520511654,0.16481481481481472
analcatdata_apnea2,0.8320837338855068,0.15688779688779683,0.9631805848420234,0.15495495495495487,0.8449786310744826,0.15882063882063877
analcatdata_apnea3,0.8673164775497512,0.14630303030303024,0.9397120136776606,0.14999999999999997,0.8846166905491686,0.14830303030303024
analcatdata_challenger,0.6582215652293094,0.1980952380952381,1.0,0.2666666666666666,1.0,0.2666666666666666
analcatdata_chlamydia,0.7649108367626885,0.013793103448275858,0.8190654527104343,0.0,0.7819908313610097,0.02068965517241379
analcatdata_lawsuit,0.7838955753328608,0.30292929292929294,0.9495347269984249,0.30508474576271183,0.7938079666915733,0.31111111111111117
analcatdata_neavote,0.715595698557894,0.04705882352941176,0.9700847696476965,0.125,0.8893501509658969,0.1487179487179487
annthyroid,0.8772759297981422,0.3443319547550524,0.8936760202820924,0.33784638266957856,0.8772759297981422,0.3443319547550524
appendicitis,0.899671705409945,0.1749999999999999,0.932032293122186,0.1749999999999999,0.899671705409945,0.1749999999999999
ar1,0.8512293043635526,0.2857142857142857,1.0,0.0,0.8654453089890721,0.30476190476190473
ar3,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.5714285714285714
ar4,0.8547242103228019,0.49677419354838703,0.9375505460892783,0.5161290322580644,0.9375505460892783,0.5161290322580644
ar6,0.9498672824759781,0.4,1.0,0.0,0.9498672824759781,0.4
arsenic-female-bladder,0.8621421354955205,0.2560675381263616,1.0,0.0,0.9681720347191256,0.2965732087227414
arsenic-female-lung,0.8493471183247002,0.40216216216216216,1.0,0.0,0.9672626090082171,0.6396854764107307
arsenic-male-bladder,0.8467476675599486,0.35,0.9708651703602464,0.5194968553459122,0.9708651703602464,0.5194968553459122
arsenic-male-lung,0.8376746513772226,0.3779198635976129,0.9566596539866334,0.6046511627906976,0.9526293591671412,0.6060908084163898
backache,0.8483089644812986,0.2790697674418604,0.9346413780226677,0.2176470588235294,0.8483089644812986,0.2790697674418604
breastw,0.815334467342685,0.42880287837176134,0.9428616803797338,0.7954870646047115,0.8769309537564182,0.7918429213527253
cardio,0.7917852920090283,0.4721152406434944,0.9497131291257291,0.40088881435519036,0.8133550620557665,0.48852944707234125
climate-model-simulation-crashes,0.4531772668651829,0.13077015048443616,0.7336000031897931,0.18815224063842845,0.4658487552259683,0.2029687338340886
datatrieve,0.8731380205739178,0.27499999999999997,0.9227980118590969,0.33999999999999997,0.9227980118590969,0.33999999999999997
fertility,0.7519341563786008,0.02727272727272727,1.0,0.0,0.7519341563786008,0.02727272727272727
flare,0.8749347624521241,0.22049674283824072,0.9632952222066136,0.22265484970569277,0.9432695313428648,0.2319459716444694
glass,0.9240017714196423,0.09999999999999995,0.9773792566387705,0.1333333333333333,0.9660688849581557,0.1333333333333333
ionosphere,0.868797054423817,0.4288198757763976,0.9480378678683586,0.422360248447205,0.868797054423817,0.4288198757763976
kc3,0.88414596404775,0.3775280898876404,1.0,0.0,0.8968722675817574,0.37977528089887636
letter,0.6560621060424782,0.12524463761184418,0.8631698354757812,0.23558360558360558,0.6560621060424782,0.12524463761184418
lungcancer_GSE31210,0.8262167783647977,0.20030248033877793,0.899044847534661,0.2068965517241379,0.8965728571994046,0.21379310344827585
lympho,0.9011873787436807,0.5714285714285714,0.9305692652961534,0.5714285714285714,0.9011873787436807,0.5714285714285714
mw1,0.8376675022859205,0.283149330767212,0.9670112238788883,0.32967032967032955,0.899675688371143,0.32341880341880336
optdigits,0.6657038210601307,0.06852892700466144,0.8687431249285151,0.0516218622040235,0.7036263353540616,0.07226317195988466
pc1,0.9437220446452875,0.26836955285015357,0.9690854033417766,0.26183866196381833,0.9514759784001321,0.2705029013539651
pima,0.8186716160870188,0.2582726659925851,0.8405245832429357,0.23485507246376808,0.8186716160870188,0.2582726659925851
satellite,0.851803202161601,0.4353280274362759,0.952675318525549,0.5692836253877964,0.9125037069444634,0.5693577118486781
satimage-2,0.8155481355848105,0.21445182183126638,0.9338205312483896,0.2177483380132959,0.8447487505614125,0.2166359985418332
thoracic_surgery,0.8305354779333423,0.1936192160330091,0.9324493826026969,0.10764375876577839,0.885830841808439,0.19519599174771587
thyroid,0.8909681312161845,0.3764097445901193,0.9553139875635711,0.3632890259946468,0.9482613984247691,0.3791489361702128
vertebral,0.8412046494911662,0.03703703703703699,0.8894831122455702,0.033403214535289966,0.8677279168783427,0.03710691823899367
visualizing_livestock,0.9069260058340226,0.04751066856330012,0.9209792414819113,0.052773826458036965,0.9209792414819113,0.052773826458036965
vowels,0.665876151054488,0.19946624803767657,0.8800971429122129,0.21807255855553692,0.7592705508207221,0.22276891829920037
wbc,0.8986242205655623,0.48895382817066046,0.9307663798545011,0.5083158630328442,0.90369760535201,0.5215234102026555
wine,0.7167224057480174,0.13913043478260864,0.9125628582094468,0.41538461538461535,0.7424412774398501,0.2692307692307693
