Filename,Determinism_Default,Performance_Default,Determinism_CS2,Performance_CS2,Performance_Improve,Determinism_Improve
CastMetal1,1.0,0.0,1.0,0.0,0.0,0.0
CostaMadre1,1.0,0.0,1.0,0.0,0.0,0.0
KnuggetChase3,1.0,0.0,1.0,0.0,0.0,0.0
KungChi3,1.0,0.0,1.0,0.0,0.0,0.0
MeanWhile1,1.0,0.0,1.0,0.0,0.0,0.0
MegaWatt1,1.0,0.0,1.0,0.0,0.0,0.0
PieChart1,1.0,0.0,1.0,0.0,0.0,0.0
PieChart2,1.0,0.0,1.0,0.0,0.0,0.0
PieChart3,1.0,0.0,1.0,0.0,0.0,0.0
PizzaCutter1,1.0,0.0,1.0,0.0,0.0,0.0
PizzaCutter3,1.0,0.0,1.0,0.0,0.0,0.0
analcatdata_apnea1,1.0,0.0,1.0,0.0,0.0,0.0
analcatdata_apnea2,1.0,0.0,1.0,0.0,0.0,0.0
analcatdata_apnea3,1.0,0.0,1.0,0.0,0.0,0.0
analcatdata_challenger,1.0,0.0,1.0,0.0,0.0,0.0
analcatdata_chlamydia,1.0,0.0,1.0,0.0,0.0,0.0
analcatdata_lawsuit,1.0,0.0,1.0,0.2333333333333333,0.2333333333333333,0.0
analcatdata_neavote,1.0,0.0,1.0,0.0,0.0,0.0
annthyroid,0.9994223843986614,0.3929289340755632,1.0,0.3698060941828255,-0.023122839892737668,0.0005776156013386213
appendicitis,0.8710014574676228,0.4571428571428571,1.0,0.4411764705882353,-0.015966386554621792,0.1289985425323772
ar1,1.0,0.0,1.0,0.0,0.0,0.0
ar3,1.0,0.0,1.0,0.0,0.0,0.0
ar4,1.0,0.0,1.0,0.0,0.0,0.0
ar6,1.0,0.0,1.0,0.0,0.0,0.0
arsenic-female-bladder,1.0,0.2679425837320573,1.0,0.2822085889570552,0.01426600522499788,0.0
arsenic-female-lung,1.0,0.2162162162162161,1.0,0.3137254901960785,0.0975092739798624,0.0
arsenic-male-bladder,0.9792291644574806,0.1841651424091977,1.0,0.2545454545454545,0.07038031213625681,0.02077083554251935
arsenic-male-lung,0.9792291644574806,0.1597500650872168,1.0,0.2626262626262626,0.10287619753904578,0.02077083554251935
backache,1.0,0.0,1.0,0.2921348314606741,0.2921348314606741,0.0
breastw,1.0,0.0,1.0,0.6406685236768802,0.6406685236768802,0.0
cardio,1.0,0.2877846790890269,1.0,0.0,-0.2877846790890269,0.0
climate-model-simulation-crashes,0.8,0.0036363636363636,1.0,0.0,-0.0036363636363636,0.19999999999999996
datatrieve,1.0,0.0,1.0,0.0,0.0,0.0
fertility,1.0,0.0,1.0,0.1538461538461538,0.1538461538461538,0.0
flare,1.0,0.0,1.0,0.0,0.0,0.0
glass,1.0,0.0,1.0,0.1894736842105263,0.1894736842105263,0.0
ionosphere,1.0,0.0,1.0,0.7323076923076923,0.7323076923076923,0.0
kc3,1.0,0.0,1.0,0.0,0.0,0.0
letter,1.0,0.0,1.0,0.2532051282051282,0.2532051282051282,0.0
lungcancer_GSE31210,1.0,0.0,1.0,0.0,0.0,0.0
lympho,1.0,0.0,1.0,0.0,0.0,0.0
mw1,1.0,0.0,1.0,0.0,0.0,0.0
optdigits,1.0,0.0,1.0,0.0,0.0,0.0
pc1,1.0,0.0,1.0,0.0,0.0,0.0
pima,0.997867785471386,0.356464200882253,1.0,0.4679089026915113,0.1114447018092583,0.002132214528614007
satellite,0.998446219925764,0.6807804700395401,1.0,0.6257088846880909,-0.05507158535144918,0.0015537800742360108
satimage-2,0.9972218422374368,0.0853161295504551,1.0,0.0773420479302832,-0.007974081620171908,0.0027781577625631826
thoracic_surgery,1.0,0.0,1.0,0.2893081761006289,0.2893081761006289,0.0
thyroid,1.0,0.161038961038961,1.0,0.1431870669745958,-0.017851894064365215,0.0
vertebral,0.4041864497006596,0.0988681521213345,1.0,0.027027027027027,-0.0718411250943075,0.5958135502993405
visualizing_livestock,1.0,0.0,1.0,0.0,0.0,0.0
vowels,0.9751831047719892,0.12474727056445,1.0,0.275,0.15025272943555001,0.024816895228010782
wbc,0.9486591986830452,0.2195552995301236,1.0,0.2282608695652173,0.008705570035093702,0.05134080131695484
wine,0.8833704011289762,0.4883418131261221,1.0,0.3030303030303029,-0.1853115100958192,0.11662959887102375
